,Q14,Q15,Q23,Q24
0,female,Caucasian/White,CMA/CNA,health care and social assistance
1,female,African American/Black,Cashier,accommodation and food services
2,female,Caucasian/White,Sales Associate,retail trade
3,female,Caucasian/White,Lifeguard,health care and social assistance
4,female,African American/Black,Lead Front Desk Receptionist,educational services
5,female,Caucasian/White,People lead,retail trade
6,female,Caucasian/White,Server,accommodation and food services
7,female,Caucasian/White,Server ,accommodation and food services
8,female,Caucasian/White,sales associate,retail trade
9,male,Asian/Asian American/Pacific Islander,manager,utilities
10,female,African American/Black,Operation Office (Banking Supervisor),finance and insurance
11,female,Caucasian/White,Sales Associate,other services (except public administration)
12,female,Caucasian/White,CNA,health care and social assistance
13,female,Hispanic American/Latino,Peer Advisor,educational services
14,male,Caucasian/White,Career Field Manager,other services (except public administration)
15,female,Caucasian/White,barista,accommodation and food services
16,female,Caucasian/White,Babysitter/Nanny,other services (except public administration)
17,female,Caucasian/White,server,accommodation and food services
18,female,Hispanic American/Latino,cashier/workstudy student,accommodation and food services
19,female,Caucasian/White,Nike Athlete,retail trade
20,male,Caucasian/White,Production Assistant,"arts, entertainment, and recreation"
21,female,Hispanic American/Latino,None,"arts, entertainment, and recreation"
22,female,Caucasian/White,None,other services (except public administration)
23,female,Caucasian/White,None,educational services
24,female,Caucasian/White,Nanny,other services (except public administration)
25,female,Caucasian/White,Patient attendant,health care and social assistance
26,female,Caucasian/White,None,educational services
27,female,Caucasian/White,Research Assistant,"professional, scientific, and technical services"
28,female,Hispanic American/Latino,Sales Associate,other services (except public administration)
29,female,Caucasian/White,340B Compliance Sr. Analyst,health care and social assistance
30,female,Caucasian/White,Office Assisstant,other services (except public administration)
31,female,Caucasian/White,None,other services (except public administration)
32,male,Hispanic American/Latino,Security Officer,other services (except public administration)
33,female,Hispanic American/Latino,Manager ,other services (except public administration)
34,female,Caucasian/White,direct support professional,health care and social assistance
35,female,Caucasian/White,Cashier and Courtesy,retail trade
36,female,Asian/Asian American/Pacific Islander,head paralegal,"professional, scientific, and technical services"
37,female,Caucasian/White,Work Study,educational services
38,female,Caucasian/White,"stylist at maurices, proctor at lab","professional, scientific, and technical services"
