	model_name	temperature	max_tokens	word_list	top_p	frequency_penalty	presence_penalty	item_type	creative_scenario
0	gpt-4	1	2048	Samantha, Paris, Lawrence, Dancing	1	0	0	creative_scenario	Samantha, a passionate dancer, found her dreams coming true when she receives an offer to perform at a prestigious theatre in Paris. However, Lawrence, her dear boyfriend who loves her deeply, has always been terrified of flying due to a traumatic event in the past. The thought of flying to Paris for Samantha's performance is tormenting him greatly. Interestingly, Lawrence has always been Samantha's biggest fan and critic, being at every single performance she had ever done. Samantha is torn between the once-in-a-lifetime opportunity of performing in Paris and her fear of causing emotional distress to Lawrence. Overwhelmed by the predicaments, Samantha is at a loss.
1	gpt-4	1	2048	Miko, Library, Nolan, Studying	1	0	0	creative_scenario	Miko, a third-year college student, finds herself in her beloved sanctuary, the university library, drowned in the relentless pursuit of knowledge as her final examinations approach. During this intense period, she unexpectedly stumbles upon her professor, Nolan, who she finds deeply engrossed in what appears to be answer sheets of a yet-to-be conducted exam. Confusion seizes her as she struggles with the morality of this discovery; not only had she unintentionally invaded her professor's privacy, duplicating what she saw could potentially secure an easy pass for her in a subject she had been studying relentlessly for. The gravity of the situation intensifies, knowing it could alter her academic future dramatically. Miko does not know what to do.
2	gpt-4	1	2048	Corinne, Beach, Elijah, Surfing	1	0	0	creative_scenario	Corinne, a middle-aged woman, has recently taken an interest in surfing. Living near the beach, she sees plenty of surfers ride waves every day and it's an activity that seems to offer the thrill she craves. Meanwhile, her lifelong friend, Elijah, is an experienced surfer. However, he had a near-death experience with a predatory shark while surfing a few years ago and was left deeply scarred, developing a paralyzing fear of open waters. He now sees danger where Corinne sees adventure, and his concern for her safety is putting their friendship at risk. Corinne finds herself stuck with the dilemma of pursuing her newfound passion or risking alienating her closest friend. Corinne does not know what to do.
3	gpt-4	1	2048	Ava, Farm, Finn, Gardening	1	0	0	creative_scenario	 Ava worked tirelessly on her small organic farm, a legacy passed down through generations. She was popular among the locals who appreciated her fresh produce and the outstanding quality of her grown goods. When her long-time friend Finn asked for a partnership into the farm business, he brought along ideas of industrialized farming techniques. Techniques that promised growth and profit but at the cost of potentially compromising organic methods Ava passionately adhered to. The farm was Ava's livelihood and heart, the thought of tarnishing its essence with the pressure for profit was heartbreaking yet the fear of possibly losing the farm due to economic instability was terrifying. Lost in the midst of tradition and advancement, Ava does not know what to do.
4	gpt-4	1	2048	Theodore, Gym, Emily, Boxing	1	0	0	creative_scenario	Theodore, a once-competitive boxer, has now settled into life as a high school gym teacher, a job he enjoys despite its lack of thrill. He loves inspiring his students, and is particularly proud of Emily, a quiet girl in his class who shows an uncanny knack for boxing. Theodore sees his younger self in Emily and nurtures her talent, providing the guidance he once received from his own coach. Yet, one day, Emily confides in Theodore that her efforts have been met with bullying and pressure from her peer group, making her consider quitting the sport she loves. This revelation hits Theodore hard, eliciting raw memories of the grueling and lonely journey he undertook during his boxing days. Now, Theodore does not know what to do.
5	gpt-4	1	2048	Ingrid, Office, Trevor, Typing	1	0	0	creative_scenario	Ingrid, a seasoned secretary, shares an office with her colleague Trevor. Every day, Trevor has this stereotypically mundane rhythm of typing on his computer, clicking, and then a sharp sigh of relief. At first, Ingrid brushed it off as one of those office sounds one gets used to. However, over weeks, the rhythm turned from benign background noise to an obnoxious, relentless echo, interfering with her concentration, productivity, and eventually, her peace of mind. It becomes a particularly potent disturbance when Ingrid has piles of paperwork to finish within a tight deadline. She's tried everything from earplugs to music, but nothing completely drowns out Trevor's interminable typing rhythm. The importance of maintaining a cordial office relationship with Trevor makes it sensitive to address such an ostensibly trivial issue. Ingrid does not know what to do.
6	gpt-4	1	2048	Archie, Mountain, Sophie, Hiking	1	0	0	creative_scenario	Archie, an experienced mountaineer, impulsively invites Sophie, a work colleague he secretly admires, for a hike up an impressive mountain peak. Sophie, thrilled by the proposition, fails to conceal her lack of experience and confidence in hiking, but with an infectiously adventurous spirit, she accepts the invitation. During their hike, an unexpected turn of weather catches them off-guard, transforming what should've been a casual trek into a potentially hazardous venture. With visibility plummeting and the path back untraceable, Archie is pelted with a dilemma; he is responsible for Sophie's safety but is uncertain about the path forward. The unfolding situation evokes a daunting resonance in Archie, stirring anxiety and a potent sense of vulnerability. Archie does not know what to do.
7	gpt-4	1	2048	Eunice, Kitchen, Ian, Cooking	1	0	0	creative_scenario	Eunice, a dedicated home chef, finds herself confronted with a challenging dilemma. She's always been the one preparing family meals in her cheerful, sunlit kitchen with an enviable view of the garden. However, her younger brother Ian, who has always shown a nonchalant attitude towards cooking, suddenly expresses an interest in it. Ian begins pursuing a culinary career rapidly gaining fame, recognition, and praise for his natural talent. As Ian's star rises, Eunice's excitement for him starts to wane and she finds herself feeling overshadowed and overshadowed by her brother's sudden success in her domain. Eunice does not know what to do.
8	gpt-4	1	2048	Mateo, Theater, Hazel, Acting	1	0	0	creative_scenario	Mateo is a dedicated, passionate actor who dreams of performing on big stages like Broadway. The theater has been his sanctuary since his teen years - a place where he could escape his mundane existence and embrace any character he desired. Mateo's girlfriend, Hazel, has unfortunately developed a severe case of Anthropophobia - an irrational fear of people or society. This condition causes Hazel immense distress and anxiety; she struggles even going out in public and attending social events. Mateo and Hazel's anniversary is coming up, and his director has offered him to play the lead role in an upcoming performance that day. However, this means Hazel will have to come to the theater filled with hundreds of people - something she might not be able to handle. Mateo is paralyzed by this predicament.
9	gpt-4	1	2048	Garrett, Garage, Luna, Repairing	1	0	0	creative_scenario	Garrett, a thirty-something garage owner in a bustling city, is dealing with a troubling situation: his new employee Luna. Luna, fresh out of a prestigious auto repair school and armed with the latest know-how in modern vehicle technology, is proving to be a wunderkind in the garage, able to identify and repair even the most intricate automotive issues with an ease that surprises even Garrett. However, as Luna's popularity soars because of her exceptional ability, Garrett's long-time customers keep flocking to her, bypassing him entirely. This leaves Garrett feeling inadequate and inferior as he is unable to match Luna's prowess at repairing, despite his years of experience in the field. His garage, once buzzing with his own reputation and accomplishments, is now dominated by Luna's brilliance and he feels his own skills waning in comparison. Caught in this ego-bruising situation, Garrett is unsure about how to proceed.
