	model_name	temperature	max_tokens	word_list	top_p	frequency_penalty	presence_penalty	item_type	creative_scenario	topic
4	meta-llama/Llama-2-70b-chat-hf	1	500	5. Rachel, gym, Daniel, lifting, Olivia	1	0	0	creative_scenario	" Rachel has always dreamed of becoming a professional bodybuilder. She has been working hard at the gym and has made tremendous progress. However, her friend Daniel, who is also a bodybuilder, has been lifting heavier weights than her and has been getting more attention from their mutual friend Olivia. Rachel feels jealous and frustrated, as she believes that her hard work should be paying off more. She is torn between continuing to work hard and hoping that her efforts will eventually be recognized or taking a shortcut by using performance-enhancing drugs to catch up with Daniel.

        Does not know what to do.

        Please provide feedback on this scenario, and I will revise it according to your feedback."	greatest dream
5	meta-llama/Llama-2-70b-chat-hf	1	500	6. Alex, office, Lisa, typing, Ethan	1	0	0	creative_scenario	"

        Alex is a college student who works part-time as a typist in an office. She is close friends with her co-worker, Lisa, who is also her supervisor. One day, while Alex is working on a project, Lisa comes to her and asks her to type up a confidential document. Alex is hesitant, as she knows that the document contains sensitive information that could potentially harm the company if it falls into the wrong hands. However, she also values her friendship with Lisa and doesn't want to let her down. Alex is torn between her loyalty to her friend and her responsibility to protect the company's interests. She doesn't know what to do.

        Please let me know if this scenario meets all the requirements."	friendship versus work
6	meta-llama/Llama-2-70b-chat-hf	1	500	7. Sophia, theater, Ryan, acting, Grace	1	0	0	creative_scenario	"
        Sophia is a theater major who has just landed the lead role in a play. She has been practicing her lines and rehearsing with the cast for weeks, but she has just discovered that the play's director, Ryan, has a reputation for being extremely demanding and difficult to work with. Many of her fellow actors have warned her about his tendency to yell and belittle his actors during rehearsals, and she is worried that she will not be able to handle the pressure. She knows that this play is a great opportunity for her to showcase her talent and potentially launch her career, but she is terrified of being humiliated in front of her peers. She has heard that Grace, the lead actress in the previous production, had a breakdown during rehearsals due to Ryan's behavior, and she does not want to suffer the same fate. Sophia does not know what to do.

        Please let me know if this scenario meets your requirements."	greatest fear
7	meta-llama/Llama-2-70b-chat-hf	1	500	8. Matthew, museum, Jessica, exploring, Benjamin	1	0	0	creative_scenario	"

        Matthew has been struggling with past trauma that he experienced in his childhood. He has been avoiding going to the museum because he is afraid that it might trigger his PTSD. However, he has a class project that requires him to visit the museum and write a paper about one of the exhibits. He knows that he needs to complete the project to pass the class, but he is worried that going to the museum will cause him to have a panic attack or flashbacks. He is also worried that if he does not complete the project, he will fail the class and fall behind in his studies. Matthew does not know what to do.

Please let me know if this scenario meets all of your requirements. If not, please specify which requirements are not met."	past trauma
9	meta-llama/Llama-2-70b-chat-hf	1	500	10. Megan, stadium, Tyler, cheering, Ethan	1	0	0	creative_scenario	"

        Megan is a senior at a prestigious university and has been working hard for the past year to secure a job at a top finance firm after graduation. She has just received an offer from her dream company, but there's a catch: the offer is contingent on her attending a networking event at the stadium, where she will have to cheer for the firm's CEO, Tyler, who is also a prominent alumnus of the university. The problem is that Megan's best friend, Ethan, is a passionate activist who has been protesting against the firm's unethical business practices. Megan is torn between her loyalty to her friend and her career aspirations. She knows that attending the event would be a betrayal to Ethan and could potentially damage their friendship, but she also knows that rejecting the offer could mean giving up her dream job. Megan does not know what to do.

        Does this meet all the criteria?"	friendship versus work
16	meta-llama/Llama-2-70b-chat-hf	1	500	7. Daniel, museum, Emily, exploring, Grace	1	0	0	creative_scenario	" Daniel, a college student, has been given the opportunity to intern at a prestigious museum. However, he has just discovered that the museum has a policy of not displaying artwork created by artists who have been accused of sexual misconduct. Daniel is torn between his desire to work at the museum and his belief that the policy is unfair and violates the artists' rights. He knows that if he speaks out against the policy, he may jeopardize his internship and future career prospects. On the other hand, if he stays silent, he will be complicit in perpetuating a policy that he believes is unjust. Daniel does not know what to do.

        Does this scenario meet the requirements?"	morality and ethics
18	meta-llama/Llama-2-70b-chat-hf	1	500	9. Noah, garden, Lily, gardening, James	1	0	0	creative_scenario	"
        Noah has been avoiding the garden ever since the accident that left him with a permanent scar on his hand. He had been gardening with Lily that day, and the memory of her screams and his subsequent failure to protect her still haunts him. James, Noah's best friend, has been encouraging him to face his fears and return to the garden, but Noah is afraid of being overwhelmed by the memories. He knows that he needs to confront his past and move on, but he's not sure if he's ready.

        Noah doesn't know what to do.

Please let me know if this scenario meets all the requirements. If it doesn't, I'll be happy to make any necessary changes."	past trauma
20	meta-llama/Llama-2-70b-chat-hf	1	500	Sarah, coffee shop, David, writing, Emily	1	0	0	creative_scenario	"

        Sarah sits alone in a coffee shop, staring at a blank page in her notebook. She has a looming deadline for a writing project but is struggling to come up with ideas. Suddenly, David walks in and joins her, eager to discuss his own writing projects. As they chat, Sarah becomes increasingly anxious about her inability to write and fears that she will never be able to produce anything as good as David's work. Emily, a mutual friend, enters the shop and joins their table, asking about their writing projects. Sarah feels pressure to share her work, but fears that it will not measure up to Emily's expectations.

        Does not know what to do:

        Sarah does not know how to overcome her fear and produce quality writing. She feels stuck and unsure of how to move forward, worried that her lack of progress will damage her reputation among her peers.

How is this? I tried to follow all of the rules provided, and I would appreciate feedback on any areas that could be improved.

 "	greatest fear
23	meta-llama/Llama-2-70b-chat-hf	1	500	Daniel, gym, Sophia, weightlifting, Noah	1	0	0	creative_scenario	"

        Daniel has been going to the gym regularly for the past year, and he has finally gained enough confidence to ask Sophia, a personal trainer, for help with his form. Sophia is known for being strict and demanding, but Daniel is willing to put in the work to improve. However, when he approaches her, he notices that she seems distant and preoccupied. After their session, Daniel overhears Sophia arguing with Noah, the gym owner, about something that sounds serious. Daniel is torn between asking Sophia what's wrong and not wanting to intrude on her personal life. He knows that if he doesn't say anything, he risks losing the opportunity to work with her and improve his form. But if he does say something, he might come across as insensitive or nosy. Daniel does not know what to do."	past trauma
26	meta-llama/Llama-2-70b-chat-hf	1	500	Isabella, restaurant, Jack, dining, Harper	1	0	0	creative_scenario	"
        Isabella and Jack have been dating for a year, and tonight they are celebrating their anniversary at a fancy restaurant. Isabella has been a vegetarian for five years and has always been passionate about animal welfare. Jack, on the other hand, loves steak and has been teasing Isabella about her dietary restrictions all evening. As they peruse the menu, Isabella is torn between ordering something that will please Jack and staying true to her beliefs. She knows that if she orders a steak, it will hurt her stomach and go against her values, but she also doesn't want to disappoint Jack on their special night.

        As they wait for their food to arrive, Jack starts to joke about how Isabella's vegetarianism is a fad and that she should just try the steak. Isabella starts to feel uncomfortable and embarrassed, but she doesn't want to ruin the evening by bringing up a disagreement. She decides to ignore Jack's jokes and focus on enjoying the night.

        When their food arrives, Isabella takes a bite of her vegetarian pasta and realizes that it's not cooked to her liking. She's disappointed but doesn't want to send it back and make a scene. Jack notices her disappointment and asks her what's wrong. Isabella hesitates, unsure of whether to express her dissatisfaction or just let it go.

        Does Isabella:

1. Send the pasta back and risk embarrassing Jack?
2. Eat the pasta even though it's not cooked to her liking and try to enjoy the rest of the evening?
3. Tell Jack how his jokes are making her feel and risk starting an argument?

        No matter what Isabella chooses, she knows that her decision will have an impact on her relationship with Jack and her own personal values. She does not know what to do.

Please respond with the 8-12 sentence scenario in a single paragraph."	morality and ethics
