	model_name	temperature	max_tokens	output	top_p	frequency_penalty	presence_penalty	item_type
0	gpt-4	1	2048	Samantha, Paris, Lawrence, Dancing	1	0	0	creative_scenario
1	gpt-4	1	2048	Miko, Library, Nolan, Studying	1	0	0	creative_scenario
2	gpt-4	1	2048	Corinne, Beach, Elijah, Surfing	1	0	0	creative_scenario
3	gpt-4	1	2048	Ava, Farm, Finn, Gardening	1	0	0	creative_scenario
4	gpt-4	1	2048	Theodore, Gym, Emily, Boxing	1	0	0	creative_scenario
5	gpt-4	1	2048	Ingrid, Office, Trevor, Typing	1	0	0	creative_scenario
6	gpt-4	1	2048	Archie, Mountain, Sophie, Hiking	1	0	0	creative_scenario
7	gpt-4	1	2048	Eunice, Kitchen, Ian, Cooking	1	0	0	creative_scenario
8	gpt-4	1	2048	Mateo, Theater, Hazel, Acting	1	0	0	creative_scenario
9	gpt-4	1	2048	Garrett, Garage, Luna, Repairing	1	0	0	creative_scenario
10	gpt-4	1	2048	Oliver, Library, Emily, Jogging 	1	0	0	creative_scenario
11	gpt-4	1	2048	Samantha, Diner, George, Painting 	1	0	0	creative_scenario
12	gpt-4	1	2048	Lucas, Beach, Sarah, Swimming 	1	0	0	creative_scenario
13	gpt-4	1	2048	Jenna, Ski-Resort, Derek, Dancing 	1	0	0	creative_scenario
14	gpt-4	1	2048	Liam, Gym, Amelia, Singing 	1	0	0	creative_scenario
15	gpt-4	1	2048	Tyler, Nightclub, Victoria, Cooking 	1	0	0	creative_scenario
16	gpt-4	1	2048	Molly, Coffee-Shop, Zack, Studying 	1	0	0	creative_scenario
17	gpt-4	1	2048	Brian, Office, Jessica, Arguing 	1	0	0	creative_scenario
18	gpt-4	1	2048	Nina, Park, Martin, Reading 	1	0	0	creative_scenario
19	gpt-4	1	2048	Laura, Forest, Alex, Exploring	1	0	0	creative_scenario
20	gpt-4	1	2048	Liam, Paris, Emily, Running 	1	0	0	creative_scenario
21	gpt-4	1	2048	Sophia, Beach, Ethan, Swimming 	1	0	0	creative_scenario
22	gpt-4	1	2048	Oliver, Library, Ava, Studying 	1	0	0	creative_scenario
23	gpt-4	1	2048	Emma, Cafe, Noah, Writing 	1	0	0	creative_scenario
24	gpt-4	1	2048	Mason, Gym, Isabella, Lifting 	1	0	0	creative_scenario
25	gpt-4	1	2048	Aiden, University, Chloe, Graduating 	1	0	0	creative_scenario
26	gpt-4	1	2048	Michael, Market, Grace, Shopping 	1	0	0	creative_scenario
27	gpt-4	1	2048	Ella, Park, Jackson, Painting 	1	0	0	creative_scenario
28	gpt-4	1	2048	Benjamin, Museum, Scarlett, Exploring 	1	0	0	creative_scenario
29	gpt-4	1	2048	Hannah, Theater, Samuel, Performing	1	0	0	creative_scenario
30	gpt-4	1	2048	John, Chicago, Lisa, Running	1	0	0	creative_scenario
31	gpt-4	1	2048	Phillip, Office, Emily, Laughing	1	0	0	creative_scenario
32	gpt-4	1	2048	Katie, Playground, Mike, Cooking	1	0	0	creative_scenario
33	gpt-4	1	2048	Donna, Library, Sam, Reading	1	0	0	creative_scenario
34	gpt-4	1	2048	Oliver, Garden, Ruby, Hiking	1	0	0	creative_scenario
35	gpt-4	1	2048	Grace, Airport, Alfie, Drawing	1	0	0	creative_scenario
36	gpt-4	1	2048	Maria, Beach, Luis, Swimming	1	0	0	creative_scenario
37	gpt-4	1	2048	Brooks, Gym, Brenna, Lifting	1	0	0	creative_scenario
38	gpt-4	1	2048	Talia, Museum, Ronald, Dancing	1	0	0	creative_scenario
39	gpt-4	1	2048	Naomi, Cafe, Elliot, Writing	1	0	0	creative_scenario
40	gpt-4	1	2048	Lucas, Paris, Isabella, Dancing	1	0	0	creative_scenario
41	gpt-4	1	2048	Emma, Office, Jack, Arguing	1	0	0	creative_scenario
42	gpt-4	1	2048	Oliver, Park, Grace, Running	1	0	0	creative_scenario
43	gpt-4	1	2048	Charlotte, Restaurant, William, Chatting	1	0	0	creative_scenario
44	gpt-4	1	2048	Henry, Library, Sophia, Reading	1	0	0	creative_scenario
45	gpt-4	1	2048	George, Beach, Alice, Swimming	1	0	0	creative_scenario
46	gpt-4	1	2048	Amelia, Theater, Benjamin, Acting	1	0	0	creative_scenario
47	gpt-4	1	2048	Abigail, Bar, Michael, Drinking	1	0	0	creative_scenario
48	gpt-4	1	2048	Lily, Gym, Daniel, Exercising	1	0	0	creative_scenario
49	gpt-4	1	2048	Ella, Classroom, Matthew, Studying	1	0	0	creative_scenario
